01,And,仙女座
02,Ant,唧筒座
03,Aps,天燕座
04,Aqr,寶瓶座
05,Aql,天鷹座
06,Ara,天壇座
07,Ari,白羊座
08,Aur,御夫座
09,Boo,牧夫座
10,Cae,雕具座
11,Cam,鹿豹座
12,Cnc,巨蟹座
13,CVn,獵犬座
14,CMa,大犬座
15,CMi,小犬座
16,Cap,摩羯座
17,Car,船底座
18,Cas,仙后座
19,Cen,半人馬座
20,Cep,仙王座
21,Cet,鯨魚座
22,Cha,蝘蜓座
23,Cir,圓規座
24,Col,天鴿座
25,Com,后髮座
26,CrA,南冕座
27,CrB,北冕座
28,Crv,烏鴉座
29,Crt,巨爵座
30,Cru,南十字座
31,Cyg,天鵝座
32,Del,海豚座
33,Dor,劍魚座
34,Dra,天龍座
35,Equ,小馬座
36,Eri,波江座
37,For,天爐座
38,Gem,雙子座
39,Gru,天鶴座
40,Her,武仙座
41,Hor,時鐘座
42,Hya,長蛇座
43,Hyi,水蛇座
44,Ind,印第安座
45,Lac,蝎虎座
46,Leo,獅子座
47,LMi,小獅座
48,Lep,天兔座
49,Lib,天秤座
50,Lup,豺狼座
51,Lyn,天貓座
52,Lyr,天琴座
53,Men,山案座
54,Mic,顯微鏡座
55,Mon,麒麟座
56,Mus,蒼蠅座
57,Nor,矩尺座
58,Oct,南極座
59,Oph,蛇夫座
60,Ori,獵戶座
61,Pav,孔雀座
62,Peg,飛馬座
63,Per,英仙座
64,Phe,鳳凰座
65,Pic,繪架座
66,Psc,雙魚座
67,PsA,南魚座
68,Pup,船尾座
69,Pyx,羅盤座
70,Ret,網罟座
71,Sge,天箭座
72,Sgr,人馬座
73,Sco,天蠍座
74,Scl,玉夫座
75,Sct,盾牌座
76,Ser,巨蛇座
77,Sex,六分儀座
78,Tau,金牛座
79,Tel,望遠鏡座
80,Tri,三角座
81,TrA,南三角座 
82,Tuc,杜鵑座
83,UMa,大熊座
84,UMi,小熊座
85,Vel,船帆座
86,Vir,室女座
87,Vol,飛魚座
88,Vul,狐狸座